year,city,country,avg_temp,5Y MA,10Y MA
1743,Chicago,United States,5.44,,
1744,Chicago,United States,11.73,,
1745,Chicago,United States,1.8,,
1746,Chicago,United States,,,
1747,Chicago,United States,,6.323333333,
1748,Chicago,United States,,6.765,
1749,Chicago,United States,,1.8,
1750,Chicago,United States,10.49,10.49,
1751,Chicago,United States,11.19,10.84,
1752,Chicago,United States,4.5,8.726666667,7.525
1753,Chicago,United States,10.04,9.055,8.291666667
1754,Chicago,United States,10.64,9.372,8.11
1755,Chicago,United States,7.41,8.756,9.045
1756,Chicago,United States,11.15,8.748,9.345714286
1757,Chicago,United States,9.5,9.748,9.365
1758,Chicago,United States,8.61,9.462,9.281111111
1759,Chicago,United States,9.59,9.252,9.312
1760,Chicago,United States,8.05,9.38,9.068
1761,Chicago,United States,10.4,9.23,8.989
1762,Chicago,United States,9.82,9.294,9.521
1763,Chicago,United States,7.72,9.116,9.289
1764,Chicago,United States,10.63,9.324,9.288
1765,Chicago,United States,9.78,9.67,9.525
1766,Chicago,United States,10.49,9.688,9.459
1767,Chicago,United States,9.41,9.606,9.45
1768,Chicago,United States,8.95,9.852,9.484
1769,Chicago,United States,9.79,9.684,9.504
1770,Chicago,United States,9.66,9.66,9.665
1771,Chicago,United States,10.44,9.65,9.669
1772,Chicago,United States,10.27,9.822,9.714
1773,Chicago,United States,10.42,10.116,9.984
1774,Chicago,United States,10.27,10.212,9.948
1775,Chicago,United States,10.99,10.478,10.069
1776,Chicago,United States,9.98,10.386,10.018
1777,Chicago,United States,9.67,10.266,10.044
1778,Chicago,United States,7.63,9.708,9.912
1779,Chicago,United States,10.32,9.718,9.965
1780,Chicago,United States,12.54,10.028,10.253
1781,Chicago,United States,10.18,10.068,10.227
1782,Chicago,United States,9.69,10.072,10.169
1783,Chicago,United States,9.44,10.434,10.071
1784,Chicago,United States,9.4,10.25,9.984
1785,Chicago,United States,9.2,9.582,9.805
1786,Chicago,United States,9.75,9.496,9.782
1787,Chicago,United States,9.78,9.514,9.793
1788,Chicago,United States,10.28,9.682,10.058
1789,Chicago,United States,10.03,9.808,10.029
1790,Chicago,United States,9.93,9.954,9.768
1791,Chicago,United States,10.12,10.028,9.762
1792,Chicago,United States,9.62,9.996,9.755
1793,Chicago,United States,10.2,9.98,9.831
1794,Chicago,United States,10.3,10.034,9.921
1795,Chicago,United States,10.01,10.05,10.002
1796,Chicago,United States,9.92,10.01,10.019
1797,Chicago,United States,9.66,10.018,10.007
1798,Chicago,United States,10.43,10.064,10.022
1799,Chicago,United States,10.11,10.026,10.03
1800,Chicago,United States,10.11,10.046,10.048
1801,Chicago,United States,10.47,10.156,10.083
1802,Chicago,United States,10.66,10.356,10.187
1803,Chicago,United States,10.48,10.366,10.215
1804,Chicago,United States,10.41,10.426,10.226
1805,Chicago,United States,10.63,10.53,10.288
1806,Chicago,United States,10.1,10.456,10.306
1807,Chicago,United States,9.88,10.3,10.328
1808,Chicago,United States,9.84,10.172,10.269
1809,Chicago,United States,9.04,9.898,10.162
1810,Chicago,United States,9.22,9.616,10.073
1811,Chicago,United States,9.37,9.47,9.963
1812,Chicago,United States,8.34,9.162,9.731
1813,Chicago,United States,9.67,9.128,9.65
1814,Chicago,United States,9.55,9.23,9.564
1815,Chicago,United States,8.86,9.158,9.387
1816,Chicago,United States,8.27,8.938,9.204
1817,Chicago,United States,8.54,8.978,9.07
1818,Chicago,United States,9.42,8.928,9.028
1819,Chicago,United States,9.19,8.856,9.043
1820,Chicago,United States,9.02,8.888,9.023
1821,Chicago,United States,9.08,9.05,8.994
1822,Chicago,United States,9.87,9.316,9.147
1823,Chicago,United States,9.31,9.294,9.111
1824,Chicago,United States,9.57,9.37,9.113
1825,Chicago,United States,10.87,9.74,9.314
1826,Chicago,United States,10.19,9.962,9.506
1827,Chicago,United States,10.58,10.104,9.71
1828,Chicago,United States,11,10.442,9.868
1829,Chicago,United States,9.94,10.516,9.943
1830,Chicago,United States,11.11,10.564,10.152
1831,Chicago,United States,9.02,10.33,10.146
1832,Chicago,United States,10.33,10.28,10.192
1833,Chicago,United States,10.7,10.22,10.331
1834,Chicago,United States,10.92,10.416,10.466
1835,Chicago,United States,9.44,10.082,10.323
1836,Chicago,United States,8.68,10.014,10.172
1837,Chicago,United States,9.42,9.832,10.056
1838,Chicago,United States,8.81,9.454,9.837
1839,Chicago,United States,10.57,9.384,9.9
1840,Chicago,United States,10.24,9.544,9.813
1841,Chicago,United States,9.83,9.774,9.894
1842,Chicago,United States,10.32,9.954,9.893
1843,Chicago,United States,8.78,9.948,9.701
1844,Chicago,United States,10.28,9.89,9.637
1845,Chicago,United States,10.6,9.962,9.753
1846,Chicago,United States,11.29,10.254,10.014
1847,Chicago,United States,9.23,10.036,9.995
1848,Chicago,United States,9.77,10.234,10.091
1849,Chicago,United States,9.34,10.046,9.968
1850,Chicago,United States,9.89,9.904,9.933
1851,Chicago,United States,10.17,9.68,9.967
1852,Chicago,United States,9.82,9.798,9.917
1853,Chicago,United States,10.21,9.886,10.06
1854,Chicago,United States,10.96,10.21,10.128
1855,Chicago,United States,9.71,10.174,10.039
1856,Chicago,United States,8.66,9.872,9.776
1857,Chicago,United States,8.76,9.66,9.729
1858,Chicago,United States,10.53,9.724,9.805
1859,Chicago,United States,9.76,9.484,9.847
1860,Chicago,United States,9.75,9.492,9.833
1861,Chicago,United States,9.62,9.684,9.778
1862,Chicago,United States,9.36,9.804,9.732
1863,Chicago,United States,9.73,9.644,9.684
1864,Chicago,United States,9.35,9.562,9.523
1865,Chicago,United States,9.92,9.596,9.544
1866,Chicago,United States,9.05,9.482,9.583
1867,Chicago,United States,9.43,9.496,9.65
1868,Chicago,United States,8.88,9.326,9.485
1869,Chicago,United States,8.73,9.202,9.382
1870,Chicago,United States,10.55,9.328,9.462
1871,Chicago,United States,9.91,9.5,9.491
1872,Chicago,United States,8.72,9.358,9.427
1873,Chicago,United States,8.84,9.35,9.338
1874,Chicago,United States,10.18,9.64,9.421
1875,Chicago,United States,7.8,9.09,9.209
1876,Chicago,United States,9.69,9.046,9.273
1877,Chicago,United States,10.68,9.438,9.398
1878,Chicago,United States,11.31,9.932,9.641
1879,Chicago,United States,10.11,9.918,9.779
1880,Chicago,United States,10.46,10.45,9.77
1881,Chicago,United States,10.25,10.562,9.804
1882,Chicago,United States,10.38,10.502,9.97
1883,Chicago,United States,8.42,9.924,9.928
1884,Chicago,United States,9.35,9.772,9.845
1885,Chicago,United States,7.96,9.272,9.861
1886,Chicago,United States,9.4,9.102,9.832
1887,Chicago,United States,9.64,8.954,9.728
1888,Chicago,United States,8.74,9.018,9.471
1889,Chicago,United States,10.02,9.152,9.462
1890,Chicago,United States,10.21,9.602,9.437
1891,Chicago,United States,10.29,9.78,9.441
1892,Chicago,United States,9.21,9.694,9.324
1893,Chicago,United States,8.91,9.728,9.373
1894,Chicago,United States,10.79,9.882,9.517
1895,Chicago,United States,9.32,9.704,9.653
1896,Chicago,United States,10.39,9.724,9.752
1897,Chicago,United States,10.05,9.892,9.793
1898,Chicago,United States,10.24,10.158,9.943
1899,Chicago,United States,10.12,10.024,9.953
1900,Chicago,United States,10.63,10.286,9.995
1901,Chicago,United States,9.87,10.182,9.953
1902,Chicago,United States,10.04,10.18,10.036
1903,Chicago,United States,9.57,10.046,10.102
1904,Chicago,United States,8.56,9.734,9.879
1905,Chicago,United States,9.42,9.492,9.889
1906,Chicago,United States,10.56,9.63,9.906
1907,Chicago,United States,9.32,9.486,9.833
1908,Chicago,United States,10.68,9.708,9.877
1909,Chicago,United States,9.89,9.974,9.854
1910,Chicago,United States,10.2,10.13,9.811
1911,Chicago,United States,10.87,10.192,9.911
1912,Chicago,United States,8.95,10.118,9.802
1913,Chicago,United States,10.83,10.148,9.928
1914,Chicago,United States,10.2,10.21,10.092
1915,Chicago,United States,9.98,10.166,10.148
1916,Chicago,United States,9.84,9.96,10.076
1917,Chicago,United States,8.06,9.782,9.95
1918,Chicago,United States,10.06,9.628,9.888
1919,Chicago,United States,10.64,9.716,9.963
1920,Chicago,United States,9.83,9.686,9.926
1921,Chicago,United States,12.28,10.174,10.067
1922,Chicago,United States,10.92,10.746,10.264
1923,Chicago,United States,10.12,10.758,10.193
1924,Chicago,United States,8.77,10.384,10.05
1925,Chicago,United States,9.93,10.404,10.045
1926,Chicago,United States,9.12,9.772,9.973
1927,Chicago,United States,10.54,9.696,10.221
1928,Chicago,United States,10.21,9.714,10.236
1929,Chicago,United States,9.28,9.816,10.1
1930,Chicago,United States,10.79,9.988,10.196
1931,Chicago,United States,12.39,10.642,10.207
1932,Chicago,United States,10.61,10.656,10.176
1933,Chicago,United States,11.09,10.832,10.273
1934,Chicago,United States,10.87,11.15,10.483
1935,Chicago,United States,10.01,10.994,10.491
1936,Chicago,United States,9.86,10.488,10.565
1937,Chicago,United States,9.99,10.364,10.51
1938,Chicago,United States,11.4,10.426,10.629
1939,Chicago,United States,11.35,10.522,10.836
1940,Chicago,United States,9.67,10.454,10.724
1941,Chicago,United States,11.41,10.764,10.626
1942,Chicago,United States,10.41,10.848,10.606
1943,Chicago,United States,9.72,10.512,10.469
1944,Chicago,United States,10.82,10.406,10.464
1945,Chicago,United States,9.96,10.464,10.459
1946,Chicago,United States,11.4,10.462,10.613
1947,Chicago,United States,10.22,10.424,10.636
1948,Chicago,United States,10.41,10.562,10.537
1949,Chicago,United States,11.18,10.634,10.52
1950,Chicago,United States,9.43,10.528,10.496
1951,Chicago,United States,9.42,10.132,10.297
1952,Chicago,United States,10.91,10.27,10.347
1953,Chicago,United States,11.67,10.522,10.542
1954,Chicago,United States,11.11,10.508,10.571
1955,Chicago,United States,11.01,10.824,10.676
1956,Chicago,United States,10.72,11.084,10.608
1957,Chicago,United States,10.42,10.986,10.628
1958,Chicago,United States,9.9,10.632,10.577
1959,Chicago,United States,10.43,10.496,10.502
1960,Chicago,United States,10.11,10.316,10.57
1961,Chicago,United States,10.58,10.288,10.686
1962,Chicago,United States,9.99,10.202,10.594
1963,Chicago,United States,9.89,10.2,10.416
1964,Chicago,United States,11.06,10.326,10.411
1965,Chicago,United States,10.34,10.372,10.344
1966,Chicago,United States,10.05,10.266,10.277
1967,Chicago,United States,9.84,10.236,10.219
1968,Chicago,United States,10.66,10.39,10.295
1969,Chicago,United States,10.03,10.184,10.255
1970,Chicago,United States,10.34,10.184,10.278
1971,Chicago,United States,10.58,10.29,10.278
1972,Chicago,United States,9.39,10.2,10.218
1973,Chicago,United States,11.55,10.378,10.384
1974,Chicago,United States,10.35,10.442,10.313
1975,Chicago,United States,10.82,10.538,10.361
1976,Chicago,United States,9.79,10.38,10.335
1977,Chicago,United States,10.46,10.594,10.397
1978,Chicago,United States,9.46,10.176,10.277
1979,Chicago,United States,9.37,9.98,10.211
1980,Chicago,United States,10.05,9.826,10.182
1981,Chicago,United States,10.54,9.976,10.178
1982,Chicago,United States,9.99,9.882,10.238
1983,Chicago,United States,10.94,10.178,10.177
1984,Chicago,United States,10.66,10.436,10.208
1985,Chicago,United States,10.11,10.448,10.137
1986,Chicago,United States,10.82,10.504,10.24
1987,Chicago,United States,12.04,10.914,10.398
1988,Chicago,United States,10.86,10.898,10.538
1989,Chicago,United States,9.8,10.726,10.581
1990,Chicago,United States,11.5,11.004,10.726
1991,Chicago,United States,11.58,11.156,10.83
1992,Chicago,United States,10.24,10.796,10.855
1993,Chicago,United States,10.18,10.66,10.779
1994,Chicago,United States,10.56,10.812,10.769
1995,Chicago,United States,10.57,10.626,10.815
1996,Chicago,United States,9.56,10.222,10.689
1997,Chicago,United States,10.14,10.202,10.499
1998,Chicago,United States,12.81,10.728,10.694
1999,Chicago,United States,11.72,10.96,10.886
2000,Chicago,United States,11.09,11.064,10.845
2001,Chicago,United States,11.7,11.492,10.857
2002,Chicago,United States,11.53,11.77,10.986
2003,Chicago,United States,10.48,11.304,11.016
2004,Chicago,United States,10.94,11.148,11.054
2005,Chicago,United States,11.58,11.246,11.155
2006,Chicago,United States,11.87,11.28,11.386
2007,Chicago,United States,11.45,11.264,11.517
2008,Chicago,United States,10.24,11.216,11.26
2009,Chicago,United States,10.3,11.088,11.118
2010,Chicago,United States,11.82,11.136,11.191
2011,Chicago,United States,11.21,11.004,11.142
2012,Chicago,United States,12.82,11.278,11.271
2013,Chicago,United States,11.59,11.548,11.382
